Municipios,Ano,População residente,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),Ganho médio mensal dos trabalhadores por conta de outrem. €,Bancos. Caixas Económicas,Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6),(%)sem nivel de escolaridade,(%) Básico 1º ciclo,(%)Básico 2º ciclo,(%)Básico 3º ciclo,(%)Secundário,(%)Médio,(%)Superior
Câmara de Lobos,2010,35686,0,21.3,68.9,9.8,46,197,0.6,0,253,0,165,109,77,0,8,13323,58,23,17,4,4,2,6719,0,0,0,0,0,7.7,1632,5679,15,27,899,11,0,21,7195,542,28,2171,2367,10,258,16670.9,17751,1080,63.2,24.7,2001.3,17.5,5,4,17.5,32.0,17.6,17.1,10.0, 0.8,5.0
Caminha,2010,16778,0,12.5,65.3,22.1,176,342,2,0,215,0,-105,63,36,0,5,13886,60,13,11,2,5,4,3628,0,0,1,0,0,8.5,2124,4421,12,19,911,11,2,22,5043,854,40,388,708,6,300,16779.2,16293.8,-485,58.9,49.1,3285.2,43.7,6,7,11.2,29.9,12.4,18.9,15.6, 0.9,11.1
Campo Maior,2010,8481,0,15.6,63.6,20.8,133,378,4.5,0,122,0,-46,38,24,0,3,4720,12,4,5,1,1,1,1818,0,0,2,0,1,28.9,715,3502,43,68,1153,3,1,10,2537,507,43,767,416,8,244,7462.9,7522.9,60,74.2,25.7,5298.5,80.5,13,1,16.2,27.0,11.9,19.7,15.8, 0.9,8.6
Cantanhede,2010,36778,0,13,63.2,23.8,183,490,1.3,0,452,0,-212,132,82,2,16,20470,110,26,31,6,6,4,5930,0,0,1,0,0,12,4136,10510,11,32,958,18,7,53,11853,1403,41,1244,1300,6,317,29189,18982.2,-10207,62.1,37.8,5124.4,64.7,1,2,15.2,31.7,11.9,16.6,12.9, 0.9,10.9
Carrazeda de Ansiães,2010,6470,0,10.8,56.8,32.4,301,98,1.5,0,118,0,-91,22,8,0,2,5302,15,7,7,2,1,2,861,0,0,0,0,0,1.4,573,983,7,28,750,2,1,3,2624,338,52,204,291,8,177,7995.3,9629.4,1634,80.8,36.3,2424.5,38.9,4,1,20.8,40.4,10.3,12.0,9.3, 0.5,6.6
Carregal do Sal,2010,9879,0,14.6,61.6,23.9,164,133,1.3,0,133,0,-55,40,20,0,4,6654,23,15,10,2,3,1,1793,0,0,0,0,0,10.6,813,2773,23,31,830,5,2,12,3185,336,42,786,407,7,121,7854.2,7436,-418,78.4,30.6,2819.8,27.6,7,1,15.5,34.6,13.8,17.4,11.7, 0.5,6.6
Cartaxo,2010,24485,0,15,64.8,20.2,135,1033,4.2,0,305,0,-87,115,92,0,8,13280,50,9,15,3,3,1,3772,0,0,2,137,1,19.4,2380,6072,9,26,944,12,3,32,6464,1092,36,761,917,6,444,16496.7,19626,3129,33.4,34.1,4900.2,26.3,10,1,10.0,27.8,12.9,20.7,16.5, 1.1,11.1
Cascais,2010,204767,0,16.9,66.2,16.9,99,22134,10.8,0,1870,0,539,699,630,5,43,108676,190,111,91,27,24,17,38227,2,2113,5,257,14,8,27963,70396,5,16,1180,136,1,317,44021,14884,34,7461,9063,7,1537,151284.9,147479.2,-3806,24,42.3,3523.4,174.6,20,42,5.6,17.5,8.9,19.6,21.4, 1.6,25.4
Castanheira de Pêra,2010,3234,0,10.9,59.5,29.6,272,52,1.6,0,57,0,-36,10,5,0,1,2711,5,1,2,1,1,0,325,0,0,1,0,0,2.6,268,711,31,34,785,2,1,3,1678,155,64,187,180,9,83,4162.4,4613.1,451,82.9,35.3,4054.5,50.4,1,1,18.2,39.7,10.1,15.9,10.3, 0.7,5.1
Castelo Branco,2010,56221,0,13,64.1,22.9,177,1251,2.2,0,691,0,-244,218,149,1,17,38198,66,32,24,6,9,6,11196,5,3615,3,68,5,11.5,5701,13268,7,9,873,37,3,86,16777,4224,43,2152,2985,8,520,38729.7,41289,2559,64,31.8,3883.8,3.8,1,5,12.3,27.3,9.2,18.5,16.9, 0.9,14.9
Castelo de Paiva,2010,16825,0,16.7,68.4,14.9,90,58,0.3,0,136,0,10,80,37,0,4,7411,38,21,19,2,2,2,3514,0,0,0,0,0,3.5,1148,3840,20,34,721,3,1,9,4484,407,35,676,1600,14,169,8454.8,9728.2,1273,77.5,30.7,2757.1,25,4,1,10.4,30.2,24.0,19.1,10.4, 0.7,5.2
Castelo de Vide,2010,3450,0,11.5,59.3,29.2,254,86,2.5,0,68,0,-48,13,9,0,2,2887,5,3,2,1,1,0,466,0,0,0,0,1,33.6,330,506,9,29,795,2,1,5,1421,339,58,186,122,6,171,5192.5,5570.2,378,79.9,19.4,4535.1,101.5,4,3,18.9,29.7,9.6,19.1,12.9, 0.5,9.4
Castro Daire,2010,15468,0,13.6,60.5,25.9,190,106,0.7,0,209,0,-117,52,28,0,5,12513,51,16,12,2,4,2,2720,0,0,0,0,0,3.2,1171,3056,9,16,742,6,3,12,5979,556,49,729,564,6,252,13135.9,13684.5,549,77.2,12.3,2404.6,20.2,4,1,20.8,36.0,13.1,15.1,9.5, 0.4,5.3
Castro Marim,2010,6749,0,13,60.6,26.3,202,630,9.3,0,95,0,-45,29,15,0,2,8351,20,5,5,1,1,0,751,0,0,1,0,0,17.2,703,1637,12,20,815,3,2,13,2050,363,41,386,269,7,156,13485.1,11447.6,-2037,37.8,39.9,6125.6,212.5,7,3,16.4,30.1,13.6,18.0,13.7, 0.6,7.6
Castro Verde,2010,7325,0,13.4,62.7,23.9,178,148,2,0,120,0,-68,18,6,0,3,4813,22,7,6,1,2,1,1103,0,0,2,145,1,18.9,692,2201,45,89,1605,5,1,13,2509,296,44,278,336,7,233,12391.7,11458.1,-934,64.8,17.2,29960.2,37.8,3,2,14.7,30.1,11.5,19.0,13.8, 1.0,9.9
Celorico da Beira,2010,7796,0,12.6,58.9,28.6,228,71,0.9,0,130,0,-86,30,24,0,4,6290,9,12,3,1,1,1,1165,0,0,1,0,0,6,655,1622,26,34,736,4,1,11,2546,351,43,363,292,6,303,12446.2,9203.3,-3243,80.1,24.4,2766.3,22.1,3,3,19.4,36.7,8.9,16.7,10.7, 0.8,6.9
Celorico de Basto,2010,20181,0,15.7,65.4,18.9,121,48,0.2,0,200,0,-32,83,25,0,5,10574,77,16,18,3,4,2,4771,0,0,0,0,0,8.5,1219,3328,16,27,704,5,1,9,5580,410,35,1879,1437,11,302,19542.8,15543,-4000,75.7,27.8,1879.5,34.2,1,0,16.0,33.3,15.7,17.3,11.4, 0.7,5.6
